class,n,mean,sd,se,ci
Mr C's class roster,7,-0.8571428571428571,1.6761634196950517,0.6335302236023843,1.2417192382606732
Mr R 1st block roster,18,1.6111111111111112,4.912635436108054,1.1579192767897792,2.2695217825079674
Mr R 2nd block roster,17,1.5294117647058822,2.7640017876898964,0.6703689011789107,1.3139230463106648
Mr R 4th block roster,11,2.4545454545454546,4.203894298472224,1.2675218223951545,2.484342771894503
Ms T roster,14,2.0,3.3050078552216666,0.8833005039168608,1.731268987677047
