profiles,logLik,BIC,entropy,smallest_profile_n
2,-237.0719620880506,580.3563052273353,0.9985939008116478,25
3,23.407889693360037,114.62703981115558,0.9891199248466883,12
4,120.41784188597936,-24.162426427441375,0.984418863514182,12
5,182.509692459798,-93.11568942843701,0.9884483263762528,7
