profiles,logLik,BIC,entropy,smallest_profile_n
2,-196.39473397369443,499.00184899862285,0.9999060839224341,21
3,96.72768485495838,-32.012550512041116,0.9999312099001394,14
4,183.17420713566042,-149.6751569268035,0.9986597541209637,6
5,268.9454052713914,-265.9871150516238,0.9975896572350925,4
