designer_profile,n,ENA_dim1_mean,ENA_dim1_sd,ENA_dim2_mean,ENA_dim2_sd
AI-guided technical optimizers,25,-1.1877427698403744,0.6558554780997875,0.14517185916637879,0.6081410582430654
Off-task but technically iterative designers,8,-0.8158423014608522,1.0351097644938698,0.024486092823239904,0.48442309389997845
Off-task weak-coupling explorers,7,1.616001253161398,0.3098400197840006,0.018293738681920937,0.6931274577903385
Technical prompt composers with limited uptake,12,-0.5692108587404805,0.6752500381393298,0.07889318015656391,0.7042916877024756
Visual-spatial generators,18,1.7632682883584536,0.38904998408362185,-0.2722199752443112,0.9782083421697745
