conceptual_understanding_group,n,pre_mean,post_mean,gain_mean,ENA_dim1_mean,ENA_dim2_mean
High post-test understanding,10,7.444444444444445,11.3,3.888888888888889,-0.8342362225223351,0.050142465672729154
Low/mid post-test understanding,17,5.066666666666666,6.411764705882353,1.4,-0.22071264986665423,-0.007525547490440582
