pre_group,n,pre_mean,post_mean,gain_mean,ENA_dim1_mean,ENA_dim2_mean
High pre-test understanding,14,9.285714285714286,10.222222222222221,1.3333333333333333,-0.8248741000456459,0.1335116668904686
Low/mid pre-test understanding,17,4.117647058823529,7.133333333333334,2.933333333333333,-0.056172892320340305,-0.11159736773842409
