gain_group,n,pre_mean,post_mean,gain_mean,ENA_dim1_mean,ENA_dim2_mean
High learning gain,10,5.0,9.9,4.9,-0.6211744717878623,-0.2520650138899068
Low/mid learning gain,14,6.642857142857143,7.142857142857143,0.5,-0.38562201325741696,0.2667981254415822
