designer_profile,planning_goal_setting,adaptive_prompting,ai_reasoning_monitoring,selective_reliance,ownership_protection,peer_supported_agency,agency_expansion,agency_constraint,future_control_support
AI-guided technical optimizers,0.14285714285714285,0.14285714285714285,0.0,0.19047619047619047,0.23809523809523808,0.0,0.19047619047619047,0.047619047619047616,0.09523809523809523
Off-task but technically iterative designers,0.15789473684210525,0.15789473684210525,0.10526315789473684,0.05263157894736842,0.10526315789473684,0.0,0.3684210526315789,0.05263157894736842,0.10526315789473684
Off-task weak-coupling explorers,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.07142857142857142,0.0
Technical prompt composers with limited uptake,0.14285714285714285,0.21428571428571427,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142,0.14285714285714285,0.0
Visual-spatial generators,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.0,0.0,0.2857142857142857,0.07142857142857142,0.14285714285714285
