designer_profile,matched_survey_n,overall_agency_mean,key_abilities_mean,active_actions_mean,mental_characteristics_mean,self_adjustment_mean,responsible_action_mean,AI_reasoning_uptake_rate_mean,transformative_uptake_rate_mean,off_task_ratio_mean,top_open_response_themes
Visual-spatial generators,2,4.833333333333334,4.625,5.0,5.0,4.75,5.0,0.0,0.0,0.0,agency_expansion (0.29); future_control_support (0.14); agency_constraint (0.07)
Technical prompt composers with limited uptake,2,4.305555555555555,4.25,4.333333333333333,4.375,4.0,4.25,0.3333333333333333,0.25,0.0,adaptive_prompting (0.21); planning_goal_setting (0.14); ownership_protection (0.14)
AI-guided technical optimizers,3,4.2407407407407405,4.416666666666667,3.9444444444444446,4.333333333333333,4.833333333333333,3.8333333333333335,1.0,0.7222222222222222,0.0,ownership_protection (0.24); agency_expansion (0.19); selective_reliance (0.19)
Off-task but technically iterative designers,3,3.777777777777778,3.625,4.0,3.75,4.333333333333333,4.0,0.8910256410256411,0.3525641025641026,0.22380952380952382,agency_expansion (0.37); planning_goal_setting (0.16); adaptive_prompting (0.16)
Off-task weak-coupling explorers,3,2.9259259259259256,2.7916666666666665,2.8333333333333335,3.3333333333333335,2.6666666666666665,2.8333333333333335,0.9166666666666666,0.0,0.16666666666666666,ownership_protection (0.19); selective_reliance (0.10); agency_constraint (0.05)
