class,n,pre_mean,pre_sd,post_mean,post_sd,gain_mean,gain_sd
Mr C's class roster,7,6.428571428571429,2.370453040886408,5.571428571428571,3.735288603626359,-0.8571428571428571,1.6761634196950517
Mr R 1st block roster,18,4.722222222222222,3.2140419038147474,6.333333333333333,4.6399797159800045,1.6111111111111112,4.912635436108054
Mr R 2nd block roster,17,6.0588235294117645,3.230142958045629,7.588235294117647,3.589199484728659,1.5294117647058822,2.7640017876898964
Mr R 4th block roster,11,5.636363636363637,2.73030134866931,8.090909090909092,4.085450904234328,2.4545454545454546,4.203894298472224
Ms T roster,14,5.285714285714286,3.0237157840738176,7.285714285714286,3.8913824205360674,2.0,3.3050078552216666
Not found in roster,1,7.0,,8.0,,1.0,
