primary_design_strategy,n,ENA_dim1_mean,ENA_dim2_mean
Cumulative incremental,16,-1.0073196975027805,0.20195515095826158
Site exploration,8,0.16948194637637234,0.21672448442242423
Detail-descriptive,24,0.7735024444827521,-0.28458249475216635
Parameter-driven,6,-1.4124664088571268,-0.22945709716134663
Performance-oriented,3,-0.07315357036226033,0.33302182385993917
Off-task / imaginative exploratory,12,0.3149975128453199,0.14806015488802726
Mixed / low-evidence,1,1.1114899315331672,0.4658568360723487
