primary_design_strategy,n,pre_mean,post_mean,gain_mean,gain_sd
Cumulative incremental,5.0,5.8,8.4,2.6,2.3021728866442674
Site exploration,1.0,4.0,6.0,2.0,
Detail-descriptive,11.0,5.181818181818182,7.454545454545454,2.272727272727273,3.2277208395680406
Parameter-driven,4.0,6.25,9.5,3.25,4.031128874149275
Performance-oriented,1.0,10.0,11.0,1.0,
Off-task / imaginative exploratory,2.0,9.0,10.0,1.0,0.0
