primary_design_strategy,n,mean_prompts,mean_parameter_rate,mean_performance_rate,mean_site_count,mean_visual_rate,mean_offtask_rate,mean_jaccard,mean_added_tokens,mean_uptake,mean_transformative_uptake,mean_net_change,mean_gain,matched_gain_n,mean_overall_agency,matched_agency_n,mean_ENA_dim1,mean_ENA_dim2
Cumulative incremental,16,7.8125,0.0078125,0.0,1.0625,1.0,0.004464285714285714,0.6281642982373223,3.5486786803882393,0.9596020299145299,0.5070526593504534,-4417.455463364814,2.6,5,4.12962962962963,3,-1.0073196975027805,0.20195515095826158
Site exploration,8,6.875,0.0,0.0,3.75,0.8055555555555556,0.0,0.410982468280988,4.522195512820513,0.9234775641025641,0.30456730769230766,-4103.815288356014,2.0,1,4.055555555555555,2,0.16948194637637234,0.21672448442242423
Detail-descriptive,24,2.3333333333333335,0.0,0.0023148148148148147,1.125,0.9791666666666666,0.0,0.09721048084285938,1.3513071895424835,0.2604166666666667,0.1691176470588235,836.7532365121963,2.272727272727273,11,4.5,4,0.7735024444827521,-0.28458249475216635
Parameter-driven,6,9.0,0.6821067821067821,0.0,2.0,1.0,0.0,0.6447890081190576,3.910185185185185,0.9027777777777778,0.24722222222222223,-3281.0818899898227,3.25,4,,0,-1.4124664088571268,-0.22945709716134663
Performance-oriented,3,6.333333333333333,0.13888888888888887,0.3138888888888889,2.0,0.7444444444444445,0.0,0.32685587127368815,7.366666666666667,0.7000000000000001,0.3428571428571428,-10560.242504375177,1.0,1,,0,-0.07315357036226033,0.33302182385993917
Off-task / imaginative exploratory,12,7.333333333333333,0.10714285714285714,0.07599206349206349,2.5833333333333335,0.8223364598364599,0.5050805675805675,0.3694152553901056,6.473079004329004,0.8465909090909091,0.18132215007215005,-1021.1828798599751,1.0,2,3.2037037037037037,3,0.3149975128453199,0.14806015488802726
Mixed / low-evidence,1,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0,,0,1.1114899315331672,0.4658568360723487
