primary_design_strategy,AI-guided technical optimizers,Technical prompt composers with limited uptake,Visual-spatial generators,Off-task but technically iterative designers,Off-task weak-coupling explorers
Cumulative incremental,12,3,0,1,0
Site exploration,3,2,0,0,3
Detail-descriptive,5,3,16,0,0
Parameter-driven,4,2,0,0,0
Performance-oriented,1,1,1,0,0
Off-task / imaginative exploratory,0,0,1,7,4
Mixed / low-evidence,0,1,0,0,0
