theme,coded_segments
planning_goal_setting,31
adaptive_prompting,27
ai_reasoning_monitoring,7
selective_reliance,39
ownership_protection,41
peer_supported_agency,3
agency_expansion,48
agency_constraint,11
future_control_support,28
